City;Title;Description;Type;Comments;lat;lng
Tokio;Nakano Broadway;Kimonos a peso;Compras;Entre Shinjuku y Koenji. Barrio tradicional con un centro comercial de 3 plantas dedicado a la cultura pop;35.7092475;139.6656524
Osaka;Yakiniku Kitan Hozenji;Desayunos Wagyu;Comida;Reservas https://tabelog.com/osaka/A2701/A270202/27128100/party/;34.6682611;135.5024138
Tokio;Watt man;Tienda de segunda mano;Compras;1h30m des del Palacio Imperial. Hay que pillar tren + bus;35.2800412;139.6695443
Ōishida;Ginzan Onsen;Onsen;Alojamiento;A 5h de Tokio;38.5687742;140.5311386
Tokio;Asakusa Sarashinatenko;Soba barato;Comida;En Asakusa, a 1 min del templo Senso-ji;35.7149973;139.7949918
Osaka;Sushitosake 【kinga】Shinsekai | KINGA osaka sushi;Izakaya;Ocio;Sitio para beber;34.6493193;135.5059799
Tokio;Benitsuru;Pancakes;Comida;Pancakes de gordos;35.7119914;139.7918882
Gunma;Takaragawa Onsen;Onsen tattoo-firendly;Alojamiento;;36.8477676;139.0478199
Tokio;Warhammer Store and Café - Tokyo;Warhammer;Compras;En Akihabara;35.699671;139.7700814
Kioto;Kinkaku-ji;Pabellón dorado;Templos;9:00 - 17:00. 500 yenes;35.03937;135.7292431
Tokio;Hibiya Godzilla Square;Estatua Godzilla;Visitas;;35.6736606;139.7603621
Fukusaki;Fukusaki;Ciudad Yokais;Visitas;En toda la ciudad hay estatuas de Yokais. Ta guapo;34.9687982;134.7501443
Kioto;Kodaiji Temple;Templo Kodai;Templos;;35.0007687;135.7812718
Kioto;Arashiyama Bamboo Forest;Bosque de bambú;Visitas;;35.0168187;135.6713013
Kioto;Kiyomizu-dera;;Templos;400 yenes. 6:00 - 18:00;34.9946662;135.784661
Tokio;Tokyo Sky Tree;Vistas de todo Tokio;Visitas;Por lo que leo últimamente está a reventar. Mejor reservar si queremos subir.;35.7100627;139.8107004
Tokio;Kamakura;;Visitas;Escapada a 1h de Tokio;35.3394416;139.5083481
Tokio;Yokohama;;Visitas;Escapada a 1h de Tokio;35.4527248;139.5950611
Tokio;Kawagoe;;Visitas;Escapada a 1h de Tokio;35.8999437;139.4678663
Tokio;Mount Takao;;Visitas;Escapada a 1h de Tokio;35.6254121;139.2437385
Kioto;Kamigamo Shrine;Pagoda de 5 pisos;Templos;;35.0603776;135.7527293
Osaka;Atago Jinja;;Templos;;35.6647441;139.7484681
Osaka;Osaka Castle;Castillo de Osaka;Visitas;;34.6872571;135.5258546
Osaka;Nipponbashi Denden Town;;Compras;Calle comercial de videojuegos y tecnologia retro;34.6615233;135.5053635
Osaka;Isshinji Temple;;Templos;;34.6528733;135.5109152
Osaka;Shinsekai Market;Mercado tradi;Visitas;Cerca de calle de tiendas y el templo isshinji;34.6536555;135.5056051
Osaka;Shitennoji Ishinotorii (Stone Torii Gate);Tori de piedra;Templos;Templo con un tori de piedra de los mas antiguos de osaka. Los domingos hacen mercadillo. Ir pronto;34.653691;135.5145439
Tokio;Habikoro Toys Radio Kaikan Store;Gachapones sueltos;Compras;En Akihabara;35.6979557;139.7719181
Tokio;Mag's Park Rooftop Shibuya Crossing;;Spots;Spot para ver el cruce de shibuya;35.6596547;139.7008219
